origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.2,0.39487348167282965,0.19487348167282964,0.19487348167282964
32,32,1,0.2,0.33469305434894087,0.13469305434894085,0.13469305434894085
33,33,1,0.1,0.2877722153406328,0.1877722153406328,0.1877722153406328
34,34,1,0.0,0.2450158714610156,0.2450158714610156,0.2450158714610156
35,35,1,0.1,0.2073619200449166,0.1073619200449166,0.1073619200449166
36,36,1,0.1,0.17733988321576422,0.07733988321576421,0.07733988321576421
37,37,1,0.0,0.15235131393182716,0.15235131393182716,0.15235131393182716
38,38,1,0.1,0.12984398551311455,0.02984398551311454,0.02984398551311454
39,39,1,0.0,0.11159015751244189,0.11159015751244189,0.11159015751244189
40,40,1,0.0,0.09530104385604363,0.09530104385604363,0.09530104385604363
41,41,1,0.0,0.08143627782172286,0.08143627782172286,0.08143627782172286
42,42,1,0.0,0.06956837113239368,0.06956837113239368,0.06956837113239368
43,43,1,0.0,0.05947375145576268,0.05947375145576268,0.05947375145576268
44,44,1,0.0,0.050859856098375615,0.050859856098375615,0.050859856098375615
45,45,1,0.0,0.043455242429227645,0.043455242429227645,0.043455242429227645
46,46,1,0.0,0.03714130633451341,0.03714130633451341,0.03714130633451341
47,47,1,0.0,0.03164380810191813,0.03164380810191813,0.03164380810191813
48,48,1,0.0,0.02702471550651776,0.02702471550651776,0.02702471550651776
49,49,1,0.0,0.023080585685548216,0.023080585685548216,0.023080585685548216
50,50,1,0.0,0.01967833828076555,0.01967833828076555,0.01967833828076555
51,51,1,0.0,0.016790730151727044,0.016790730151727044,0.016790730151727044
31,32,2,0.2,0.3439131185911696,0.14391311859116956,0.14391311859116956
32,33,2,0.1,0.29277858813173063,0.19277858813173063,0.19277858813173063
33,34,2,0.0,0.2506848375513815,0.2506848375513815,0.2506848375513815
34,35,2,0.1,0.2132483705856882,0.11324837058568821,0.11324837058568821
35,36,2,0.1,0.1794863313416775,0.07948633134167749,0.07948633134167749
36,37,2,0.0,0.15364901443385467,0.15364901443385467,0.15364901443385467
37,38,2,0.1,0.13152446485165523,0.03152446485165522,0.03152446485165522
38,39,2,0.0,0.11189569007262123,0.11189569007262123,0.11189569007262123
39,40,2,0.0,0.09602171839052327,0.09602171839052327,0.09602171839052327
40,41,2,0.0,0.08189551845724662,0.08189551845724662,0.08189551845724662
41,42,2,0.0,0.06989295654902972,0.06989295654902972,0.06989295654902972
42,43,2,0.0,0.0596735590242928,0.0596735590242928,0.0596735590242928
43,44,2,0.0,0.05095869996197215,0.05095869996197215,0.05095869996197215
44,45,2,0.0,0.043540356937565715,0.043540356937565715,0.043540356937565715
45,46,2,0.0,0.03716709953744302,0.03716709953744302,0.03716709953744302
46,47,2,0.0,0.03174090558571472,0.03174090558571472,0.03174090558571472
47,48,2,0.0,0.027071404936513752,0.027071404936513752,0.027071404936513752
48,49,2,0.0,0.023107434358953297,0.023107434358953297,0.023107434358953297
49,50,2,0.0,0.019714968988583423,0.019714968988583423,0.019714968988583423
50,51,2,0.0,0.01682210929230087,0.01682210929230087,0.01682210929230087
31,34,4,0.0,0.26843225445815777,0.26843225445815777,0.26843225445815777
32,35,4,0.1,0.22398858122899112,0.12398858122899112,0.12398858122899112
33,36,4,0.1,0.19125835548906056,0.09125835548906056,0.09125835548906056
34,37,4,0.0,0.15995180388155827,0.15995180388155827,0.15995180388155827
35,38,4,0.1,0.13401829755488484,0.034018297554884835,0.034018297554884835
36,39,4,0.0,0.1143169727756502,0.1143169727756502,0.1143169727756502
37,40,4,0.0,0.09775778936753649,0.09775778936753649,0.09775778936753649
38,41,4,0.0,0.08268064738909359,0.08268064738909359,0.08268064738909359
39,42,4,0.0,0.07090049630670663,0.07090049630670663,0.07090049630670663
40,43,4,0.0,0.06031526679589302,0.06031526679589302,0.06031526679589302
41,44,4,0.0,0.0513536399060669,0.0513536399060669,0.0513536399060669
42,45,4,0.0,0.043747065756291385,0.043747065756291385,0.043747065756291385
43,46,4,0.0,0.0371837828813175,0.0371837828813175,0.0371837828813175
44,47,4,0.0,0.0316939606258002,0.0316939606258002,0.0316939606258002
45,48,4,0.0,0.027034230389054593,0.027034230389054593,0.027034230389054593
46,49,4,0.0,0.02303377142894555,0.02303377142894555,0.02303377142894555
47,50,4,0.0,0.019638029338433574,0.019638029338433574,0.019638029338433574
48,51,4,0.0,0.016738349779790135,0.016738349779790135,0.016738349779790135
